trigram,freq
"('I', 'usually', 'wear')",1
"('usually', 'wear', 'a')",10
"('wear', 'a', 'medium')",3
"('a', 'medium', 'and')",3
"('medium', 'and', 'bought')",2
"('and', 'bought', 'a')",4
"('bought', 'a', 'small')",3
"('a', 'small', 'it')",1
"('small', 'it', 'fit')",1
"('it', 'fit', 'ok')",1
"('fit', 'ok', 'but')",1
"('ok', 'but', 'had')",1
"('but', 'had', 'no')",1
"('had', 'no', 'shape')",1
"('no', 'shape', 'and')",5
"('shape', 'and', 'wa')",1
"('and', 'wa', 'not')",2
"('wa', 'not', 'flattering')",5
"('not', 'flattering', 'i')",2
"('flattering', 'i', 'love')",1
"('i', 'love', 'baby')",1
"('love', 'baby', 'doll')",1
"('baby', 'doll', 'dress')",1
"('doll', 'dress', 'and')",1
"('dress', 'and', 'top')",1
"('and', 'top', 'but')",1
"('top', 'but', 'this')",2
"('but', 'this', 'wa')",6
"('this', 'wa', 'a')",5
"('wa', 'a', 'tent')",2
"('a', 'tent', 'my')",1
"('tent', 'my', 'daughter')",1
"('my', 'daughter', 'saw')",1
"('daughter', 'saw', 'me')",1
"('saw', 'me', 'try')",1
"('me', 'try', 'it')",1
"('try', 'it', 'on')",13
"('it', 'on', 'and')",10
"('on', 'and', 'said')",1
"('and', 'said', 'that')",1
"('said', 'that', 's')",1
"('that', 's', 'a')",1
"('s', 'a', 'piece')",1
"('a', 'piece', 'of')",2
"('piece', 'of', 'tablecloth')",1
"('of', 'tablecloth', 'it')",1
"('tablecloth', 'it', 's')",1
"('it', 's', 'going')",7
"('s', 'going', 'back')",6
"('going', 'back', 'I')",8
"('back', 'I', 'waited')",1
"('I', 'waited', 'three')",1
"('waited', 'three', 'month')",1
"('three', 'month', 'for')",1
"('month', 'for', 'these')",1
"('for', 'these', 'pant')",1
"('these', 'pant', 'when')",1
"('pant', 'when', 'they')",1
"('when', 'they', 'finally')",1
"('they', 'finally', 'arrived')",1
"('finally', 'arrived', 'i')",1
"('arrived', 'i', 'wa')",3
"('i', 'wa', 'mostly')",1
"('wa', 'mostly', 'pleased')",1
"('mostly', 'pleased', 'they')",1
"('pleased', 'they', 'seemed')",1
"('they', 'seemed', 'like')",1
"('seemed', 'like', 'the')",1
"('like', 'the', 'staple')",1
"('the', 'staple', 'pant')",1
"('staple', 'pant', 'everyone')",1
"('pant', 'everyone', 'is')",1
"('everyone', 'is', 'raving')",1
"('is', 'raving', 'about')",1
"('raving', 'about', 'and')",1
"('about', 'and', 'they')",1
"('and', 'they', 'should')",1
"('they', 'should', 'have')",2
"('should', 'have', 'been')",6
"('have', 'been', 'problem')",1
"('been', 'problem', 'one')",1
"('problem', 'one', 'they')",1
"('one', 'they', 'bag')",1
"('they', 'bag', 'out')",1
"('bag', 'out', 'i')",1
"('out', 'i', 'got')",1
"('i', 'got', 'one')",1
"('got', 'one', 'wear')",2
"('one', 'wear', 'out')",2
"('wear', 'out', 'of')",3
"('out', 'of', 'them')",2
"('of', 'them', 'before')",1
"('them', 'before', 'i')",1
"('before', 'i', 'needed')",1
"('i', 'needed', 'to')",2
"('needed', 'to', 'wash')",1
"('to', 'wash', 'and')",1
"('wash', 'and', 'hang')",1
"('and', 'hang', 'to')",1
"('hang', 'to', 'dry')",1
"('to', 'dry', 'regained')",1
"('dry', 'regained', 'shape')",1
"('regained', 'shape', 'then')",1
"('shape', 'then', 'problem')",1
"('then', 'problem', 'two')",1
"('problem', 'two', 'the')",1
"('two', 'the', 'crotch')",1
"('the', 'crotch', 'split')",1
"('crotch', 'split', 'in')",1
"('split', 'in', 'the')",1
"('in', 'the', 'front')",17
"('the', 'front', 'i')",6
"('front', 'i', 'm')",1
"('i', 'm', 'a')",9
"('m', 'a', 'teacher')",1
"('a', 'teacher', 'i')",1
"('teacher', 'i', 'sincerely')",1
"('i', 'sincerely', 'hope')",1
"('sincerely', 'hope', 'no')",1
"('hope', 'no', 'one')",1
"('no', 'one', 'noticed')",1
"('one', 'noticed', 'i')",1
"('noticed', 'i', 'read')",1
"('i', 'read', 'other')",1
"('read', 'other', 'review')",1
"('other', 'review', 'about')",1
"('review', 'about', 'this')",1
"('about', 'this', 'problem')",1
"('this', 'problem', 'and')",1
"('problem', 'and', 'don')",1
"('and', 'don', 't')",2
"('don', 't', 'know')",8
"('t', 'know', 'if')",2
"('know', 'if', 'i')",3
"('if', 'i', 'got')",2
"('i', 'got', 'a')",2
"('got', 'a', 'bad')",2
"('a', 'bad', 'batch')",1
"('bad', 'batch', 'or')",1
"('batch', 'or', 'if')",1
"('or', 'if', 'a')",1
"('if', 'a', 'similar')",1
"('a', 'similar', 'fate')",1
"('similar', 'fate', 'is')",1
"('fate', 'is', 'awaiting')",1
"('is', 'awaiting', 'other')",1
"('awaiting', 'other', 'The')",1
"('other', 'The', 'top')",1
"('The', 'top', 'i')",1
"('top', 'i', 'received')",1
"('i', 'received', 'wa')",3
"('received', 'wa', 'large')",1
"('wa', 'large', 'really')",1
"('large', 'really', 'long')",1
"('really', 'long', 'in')",1
"('long', 'in', 'length')",1
"('in', 'length', 'pocket')",1
"('length', 'pocket', 'in')",1
"('pocket', 'in', 'the')",1
"('the', 'front', 'along')",1
"('front', 'along', 'the')",1
"('along', 'the', 'seam')",1
"('the', 'seam', 'and')",1
"('seam', 'and', 'lot')",1
"('and', 'lot', 'of')",2
"('lot', 'of', 'volume')",1
"('of', 'volume', 'in')",1
"('volume', 'in', 'the')",1
"('in', 'the', 'back')",11
"('the', 'back', 'without')",1
"('back', 'without', 'any')",1
"('without', 'any', 'princess')",1
"('any', 'princess', 'seam')",1
"('princess', 'seam', 'to')",1
"('seam', 'to', 'give')",1
"('to', 'give', 'it')",4
"('give', 'it', 'shape')",1
"('it', 'shape', 'the')",1
"('shape', 'the', 'id')",1
"('the', 'id', 's')",1
"('id', 's', 'matched')",1
"('s', 'matched', 'but')",1
"('matched', 'but', 'that')",1
"('but', 'that', 's')",1
"('that', 's', 'about')",1
"('s', 'about', 'it')",1
"('about', 'it', 'returned')",1
"('it', 'returned', 'Right')",1
"('returned', 'Right', 'out')",1
"('Right', 'out', 'of')",1
"('out', 'of', 'the')",18
"('of', 'the', 'bag')",2
"('the', 'bag', 'this')",1
"('bag', 'this', 'top')",1
"('this', 'top', 'didn')",1
"('top', 'didn', 't')",1
"('didn', 't', 'really')",1
"('t', 'really', 'match')",1
"('really', 'match', 'the')",1
"('match', 'the', 'one')",1
"('the', 'one', 'pictured')",2
"('one', 'pictured', 'here')",1
"('pictured', 'here', 'it')",1
"('here', 'it', 'is')",1
